"cov.day3.b1","cov.day3.b2","cov.day3.b5","cov.day6.b7","cov.day6.b8","cov.day6.b9","cov.day9.b11","cov.day9.b12","cov.day9.b14","cov.day12.b16","cov.day12.b17","cov.day12.b19","cov.day19.b28","cov.day19.b32","cov.day19.b33","unnorm.day3.b1","unnorm.day3.b2","unnorm.day3.b5","unnorm.day6.b7","unnorm.day6.b8","unnorm.day6.b9","unnorm.day9.b11","unnorm.day9.b12","unnorm.day9.b14","unnorm.day12.b16","unnorm.day12.b17","unnorm.day12.b19","unnorm.day19.b28","unnorm.day19.b32","unnorm.day19.b33","unnorm.LG1","unnorm.LG2","unnorm.LG3","functional.category","protein.annotation","Accession","Taxa","norm.day3.b1","norm.day3.b2","norm.day3.b5","norm.day6.b7","norm.day6.b8","norm.day6.b9","norm.day9.b11","norm.day9.b12","norm.day9.b14","norm.day12.b16","norm.day12.b17","norm.day12.b19","norm.day19.b28","norm.day19.b32","norm.day19.b33","ave.unnorm.day3","ave.unnorm.day6","ave.unnorm.day9","ave.unnorm.day12","ave.unnorm.day19","ave.norm.day3","ave.norm.day6","ave.norm.day9","ave.norm.day12","ave.norm.day19"
"23-Bacillariophyta_bin5-ATP-synthase",1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,0.9725,1.2224,0,1.5882,1.0279,0,1.4538,0.4042,0,2.194,0.9171,0,1.637,0.7965,0,1.7111,0.7126,0,"ATP-synthase","kegg:atpA_ATP_synthase_alpha_chain_thylakoid_ATPase_plastid_protein_uniprot:A0A2H4MMQ0_9STRA_ATP_synthase_subunit_alpha_chloroplastic_(TrEMBL)_pfam:ATP-synt_ab","Bacillariophyta_bin5_NODE_9671_length_12862_cov_8.321476_9","Bacillariophyta_bin5",5.20013785814106,4.24934450228391,0,43.7359191276206,17.3792008841558,0,7.181614101657,4.66726934100307,0,21.1236434651788,19.7268963385755,0,32.5052376819317,23.734614010394,0,0.731633333333333,0.872033333333333,0.619333333333333,1.03703333333333,0.811166666666667,3.14982745347499,20.3717066705921,3.94962781422002,13.6168466012514,18.7466172307752
"79-Prok_bin38-ATP-synthase",19.42639885,8.840883866,1.948140209,2.096004829,2.338213369,11.92898209,73.13253158,105.6724506,4.396672512,15.44982765,5.371540627,22.59812766,15.20904325,42.96551956,9.990125861,0.5614,0.8966,0.757776737,1.1216,0.7615,0.899675727,1.2064,1.0793,0.568594098,1.5373,0.7592,1.159083843,1.0551,1.0532,0.768671751,0.7855,0.7005,0.955408633,"ATP-synthase","kegg:ATP_synthase_F0_subcomplex_B'_subunit_uniprot:F5UCR0_9CYAN_ATP_synthase_subunit_b'_(TrEMBL)_pfam:AAA_23","Prok_bin38_NODE_2_length_424772_cov_91.654_195","Prok_bin38",0.288988198139461,1.01415199383867,3.88974434950436,5.35113270962793,3.25676009767097,0.75419320794705,0.16496078748215,0.102136365142648,1.29323732083323,0.99502728109721,1.41337477032918,0.512911450204632,0.693732000531986,0.245126792550301,0.769431498356575,0.738592245666667,0.927591909,0.951431366,1.151861281,0.958990583666667,1.7309615138275,3.12069533841532,0.520111491152677,0.973771167210342,0.569430097146287
"80-Prok_bin38-ATP-synthase",19.42639885,8.840883866,1.948140209,2.096004829,2.338213369,11.92898209,73.13253158,105.6724506,4.396672512,15.44982765,5.371540627,22.59812766,15.20904325,42.96551956,9.990125861,1.1122,1.3553,1.194078565,2.1834,1.1166,1.006551504,1.0896,0.9273,0.687017441,1.6743,0.8261,0.751923859,1.3847,1.0356,0.845478058,1.4856,0.6971,1.733892083,"ATP-synthase","kegg:ATP_synthase_subunit_b_uniprot:F5UCR1_9CYAN_ATP_synthase_subunit_b_(TrEMBL)_pfam:APG6","Prok_bin38_NODE_2_length_424772_cov_91.654_196","Prok_bin38",0.572519903759723,1.5329915204657,6.12932559722143,10.4169607330614,4.7754410046742,0.843786583302683,0.148989782858547,0.0877522944471205,1.56258497562622,1.08370140944582,1.53792004447963,0.332737238373491,0.910445172151115,0.241030484585161,0.84631371993082,1.22052618833333,1.435517168,0.901305813666667,1.084107953,1.088592686,2.74494567381562,5.34539610701275,0.59977568431063,0.984786230766315,0.665929792222365
"81-Prok_bin38-ATP-synthase",19.42639885,8.840883866,1.948140209,2.096004829,2.338213369,11.92898209,73.13253158,105.6724506,4.396672512,15.44982765,5.371540627,22.59812766,15.20904325,42.96551956,9.990125861,0.8831,1.01,0.733822227,1.091,0.8302,0.85598594,1.7771,1.0661,0.499637365,1.8595,0.6767,1.800997138,1.0521,1.0294,0.678839743,1.4285,0.7875,1.185793042,"ATP-synthase","kegg:ATP_synthase_F1_subcomplex_delta_subunit_uniprot:F5UCR2_9CYAN_ATP_synthase_subunit_delta_(TrEMBL)_pfam:3A","Prok_bin38_NODE_2_length_424772_cov_91.654_197","Prok_bin38",0.454587598462697,1.14241971199761,3.76678343586306,5.20514067956854,3.5505741734556,0.717568300079491,0.242997194491486,0.100887222161194,1.13639886445106,1.20357329681927,1.2597875488432,0.796967414777406,0.691759489867977,0.239587467006532,0.679510701311674,0.875640742333333,0.925728646666667,1.11427912166667,1.44573237933333,0.920113247666667,1.78793024877445,3.15776105103454,0.493427760367914,1.08677608681329,0.536952552728728
"82-Prok_bin38-ATP-synthase",19.42639885,8.840883866,1.948140209,2.096004829,2.338213369,11.92898209,73.13253158,105.6724506,4.396672512,15.44982765,5.371540627,22.59812766,15.20904325,42.96551956,9.990125861,0.5847,1.21,0.891261876,0.9202,0.807,1.073758483,1.2376,1.0825,0.665931523,1.628,0.7034,1.717008114,0.6943,1.0776,0.875778556,0.7684,0.7186,1.132402658,"ATP-synthase","kegg:ATP_synthase_F1_subcomplex_gamma_subunit_uniprot:F5UCR4_9CYAN_ATP_synthase_gamma_chain_(TrEMBL)_pfam:ATP-synt","Prok_bin38_NODE_2_length_424772_cov_91.654_199","Prok_bin38",0.300982186412795,1.36864143714565,4.57493701881701,4.39025706080566,3.45135311729543,0.900125823728184,0.169227014744619,0.102439187683606,1.51462616599815,1.05373343760246,1.30949395870594,0.759801050703508,0.456504718007163,0.250805764956517,0.87664416663549,0.895320625333333,0.933652827666667,0.995343841,1.34946937133333,0.882559518666667,2.08152021412515,2.91391200060976,0.595430789475457,1.0410094823373,0.527984883199723
"91-Prok_bin38-ATP-synthase",19.42639885,8.840883866,1.948140209,2.096004829,2.338213369,11.92898209,73.13253158,105.6724506,4.396672512,15.44982765,5.371540627,22.59812766,15.20904325,42.96551956,9.990125861,0.6856,1.0548,0.809493542,0.7891,0.7798,0.976067781,1.4446,1.063,0.671857595,1.5564,0.6729,1.487101555,0.8256,1.1345,0.620774746,0.5748,0.5659,0.824376225,"ATP-synthase","kegg:ATP_synthase_F1_subcomplex_beta_subunit_uniprot:F5UPS9_9CYAN_ATP_synthase_subunit_beta_(TrEMBL)_pfam:AAA","Prok_bin38_NODE_2_length_424772_cov_91.654_8","Prok_bin38",0.352921818034226,1.19309337843077,4.15521192088901,3.76478140261002,3.33502498248696,0.818232246168122,0.197531791774464,0.10059386282464,1.52810470456072,1.00738987855311,1.25271322833839,0.658064056179422,0.542834934735293,0.264048942411998,0.621388313458006,0.849964514,0.848322593666667,1.05981919833333,1.23880051833333,0.860291582,1.900409039118,2.6393462104217,0.608743453053275,0.972722387690308,0.476090730201766
"125-Prok_bin4-ATP-synthase",1.728840502,0.483798279,2.876603013,0.557706551,3.966279837,2.348002183,2.702852722,2.962362019,0.52387639,2.171964291,4.917053892,2.917199423,2.856792326,0.144250918,0.081458711,1.0862,1.5512,1.475528717,0.6958,1.2671,1.175890684,0.4826,0.6238,0.734222531,1.6678,1.1121,0.566388309,0.6607,0.4096,0.575953007,0.668,0.9353,1.154435754,"ATP-synthase","kegg:ATP_synthase_subunit_beta_uniprot:A0A1I2HTQ0_9BACT_ATP_synthase_subunit_beta_(TrEMBL)_pfam:AAA","Prok_bin4_NODE_1636_length_21510_cov_6.39545_10","Prok_bin4",6.28282365402381,32.0629499386872,5.12941379235078,12.4760951570748,3.19468129348736,5.00804766074615,1.78552089084194,2.10575208566364,14.0151865022968,7.67876344427432,2.26172017721704,1.94154813186387,2.31273373982033,28.3949666095019,70.7049006704759,1.370976239,1.04626356133333,0.613540843666667,1.11542943633333,0.548751002333333,14.4917291283539,6.89294137043611,5.96881982626748,3.96067725111841,33.8042003399327
"288-Prok_bin48-ATP-synthase",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.6437,0.7158,0.676811874,1.7348,0.813,0.963498473,0.9253,0.7829,0.708745837,1.0493,0.9885,0.57900089,1.2776,1.1401,1.479618907,1.84,1.1516,1.660180211,"ATP-synthase","kegg:ATP_synthase_F1_subcomplex_epsilon_subunit_uniprot:K9VDU4_9CYAN_ATP_synthase_epsilon_chain_(TrEMBL)_pfam:ACCA","Prok_bin48_NODE_149_length_83377_cov_249.816_10","Prok_bin48",0.0304554564351544,0.261167750181475,0.059145820610334,0.0921184102555857,0.0468502284819373,0.0552278294531796,0.0712669500648193,0.0352529053629722,0.0370329009565875,0.151579012571871,0.0346511798666276,0.0243495879690174,0.0509161773500206,0.0394877288420823,0.0413988327636898,0.678770624666667,1.17043282433333,0.805648612333333,0.872266963333333,1.29910630233333,0.116923009075654,0.0647321560635675,0.047850918794793,0.0701932601358385,0.0439342463185976
"291-Prok_bin48-ATP-synthase",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.84,0.8132,1.02872622,2.0804,0.8677,1.245139837,0.8536,0.6391,0.744318008,1.2951,0.8568,0.544142127,1.4525,0.8484,1.560161591,2.1837,1.2837,1.918263435,"ATP-synthase","kegg:ATP_synthase_F1_subcomplex_beta_subunit_uniprot:F5UPS9_9CYAN_ATP_synthase_subunit_beta_(TrEMBL)_pfam:AAA","Prok_bin48_NODE_149_length_83377_cov_249.816_9","Prok_bin48",0.0397430222239082,0.296705245106979,0.089899215428462,0.110469875891008,0.0500023902260479,0.0713715407862363,0.0657445894037931,0.0287777900338172,0.038891593617175,0.187086609341303,0.0300345279815139,0.02288362041902,0.05788646493496,0.0293846058675753,0.0436523678391609,0.893975406666667,1.39774661233333,0.745672669333333,0.898680709,1.28702053033333,0.14211582758645,0.077281268967764,0.0444713243515951,0.0800015859139458,0.0436411462138987
"434-Prok_bin48-ATP-synthase",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.5624,0.6754,0.887542844,1.4697,0.7168,0.994428873,0.8118,0.6293,0.698746979,0.9287,1.0417,0.778282344,1.1374,1.0151,1.483880877,1.53,1.0155,1.562516928,"ATP-synthase","kegg:ATP_synthase_F1_subcomplex_gamma_subunit_uniprot:F5UCR4_9CYAN_ATP_synthase_gamma_chain_(TrEMBL)_pfam:ATP-synt","Prok_bin48_NODE_397_length_49723_cov_262.659_31","Prok_bin48",0.0266088996413404,0.246427351875619,0.0775613606259067,0.0780415192256366,0.0413065729100278,0.0570007630944752,0.0625251378608238,0.0283365095732768,0.0365104474920842,0.134157465906315,0.0365160688589438,0.0327302681692961,0.0453287884454551,0.0351583137861571,0.0415180800796298,0.708447614666667,1.06030962433333,0.713282326333333,0.916227448,1.212126959,0.116865870714289,0.0587829517433799,0.0424573649753949,0.0678012676448516,0.0406683941037473
"435-Prok_bin48-ATP-synthase",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.579,0.7074,0.78638649,1.8837,0.6166,1.078647971,0.8963,0.4098,0.606728852,1.1556,0.948,0.482704043,1.3528,0.6236,1.53924799,1.9081,1.406,2.020606279,"ATP-synthase","kegg:ATP_synthase_F1_subcomplex_alpha_subunit_uniprot:F5UCR3_9CYAN_ATP_synthase_subunit_alpha_(TrEMBL)_pfam:ATP-synt_ab","Prok_bin48_NODE_397_length_49723_cov_262.659_32","Prok_bin48",0.0273942974614796,0.258102914890158,0.0687214217933923,0.100025045768069,0.035532411908933,0.0618282102688981,0.0690333592814196,0.0184527278295389,0.0317023794858919,0.166934820287862,0.0332314805397703,0.0202998730416958,0.0539131220406292,0.0215985858309995,0.0430672180643172,0.69092883,1.192982657,0.637609617333333,0.862101347666667,1.17188266333333,0.118072878048343,0.0657952226486335,0.0397294888656168,0.0734887246231094,0.0395263086453153
"436-Prok_bin48-ATP-synthase",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.6838,0.6975,0.768598676,2.0124,0.7766,0.975481629,0.9462,0.5977,0.734003007,1.1181,0.9373,0.519931376,1.5295,1.0531,1.73614347,2.4377,1.2515,1.508720398,"ATP-synthase","kegg:ATP_synthase_F1_subcomplex_delta_subunit_uniprot:F5UCR2_9CYAN_ATP_synthase_subunit_delta_(TrEMBL)_pfam:3A","Prok_bin48_NODE_397_length_49723_cov_262.659_33","Prok_bin48",0.0323527126151291,0.254490787582535,0.0671669649401515,0.106859055106261,0.0447526290763499,0.0559147051612627,0.0728766758363039,0.0269136052311259,0.0383526212656519,0.161517672692851,0.0328563994830451,0.02186544959847,0.0609551450038013,0.0364744559631584,0.0485762332640306,0.716632892,1.25482720966667,0.759301002333333,0.858443792,1.43958115666667,0.118003488379272,0.0691754631146244,0.0460476341110272,0.0720798405914553,0.0486686114103301
"437-Prok_bin48-ATP-synthase",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.6739,0.7367,0.696710587,1.654,0.8749,0.944673002,1.0977,0.6664,0.888065219,1.0225,1.1436,0.696436644,1.2777,0.9039,1.384031653,1.0011,0.759,1.182759523,"ATP-synthase","kegg:ATP_synthase_subunit_b_uniprot:K9VFR3_9CYAN_ATP_synthase_subunit_b_(TrEMBL)_pfam:ATP-synt_B","Prok_bin48_NODE_397_length_49723_cov_262.659_34","Prok_bin48",0.0318843127103473,0.268793352275346,0.060884746528579,0.0878279055584153,0.0504172999985817,0.0541487515605842,0.0845452621702714,0.0300070713167514,0.0464025742111233,0.147707557757303,0.0400881024739254,0.0292882888797033,0.0509201626488113,0.0313068661524061,0.0387243598139559,0.702436862333333,1.15785766733333,0.884055073,0.954178881333333,1.18854388433333,0.120520803838091,0.0641313190391937,0.053651635899382,0.0723613163703104,0.0403171295383911
"438-Prok_bin48-ATP-synthase",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.6192,0.6749,0.739664495,1.5053,0.8494,0.933182478,0.9983,0.6853,0.82607764,1.0824,1.0543,0.656466305,1.1172,0.9261,1.312605381,1.614,0.7484,1.265717745,"ATP-synthase","kegg:ATP_synthase_F0_subcomplex_B'_subunit_uniprot:K9VEF6_9CYAN_ATP_synthase_subunit_b'_(TrEMBL)_pfam:AAA_11","Prok_bin48_NODE_397_length_49723_cov_262.659_35","Prok_bin48",0.0292962849536237,0.246244921203517,0.0646384397403514,0.0799318901070632,0.0489478278875246,0.0534901135683269,0.0768894372092393,0.0308581122049366,0.0431636417845676,0.1563605481824,0.0369577530939661,0.0276073566005975,0.0445237580897331,0.0320757702663384,0.0367258963748415,0.677921498333333,1.095960826,0.836559213333333,0.931055435,1.118635127,0.113393215299164,0.0607899438543049,0.0503037303995812,0.073641885958988,0.037775141576971
"439-Prok_bin48-ATP-synthase",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.7779,0.7831,0.661191821,1.56,0.9617,0.816797853,1.295,1.0326,0.894327402,1.0197,1.1965,1.123658538,1.3472,1.0274,1.111825824,1.1014,0.6474,1.036175132,"ATP-synthase","kegg:ATP_synthase_F0_subcomplex_C_subunit_uniprot:K9VGD8_9CYAN_ATP_synthase_subunit_c_(TrEMBL)_pfam:ATP-synt_C","Prok_bin48_NODE_397_length_49723_cov_262.659_36","Prok_bin48",0.0368048773666407,0.285722918646428,0.0577808019276655,0.0828364768265585,0.0554192678119054,0.0468189351486469,0.0997413815345736,0.0464965513830694,0.046729781498566,0.147303077403542,0.0419424751749316,0.0472548883615162,0.0536899453083498,0.0355843282276602,0.0311082070743825,0.740730607,1.11283261766667,1.07397580066667,1.11328617933333,1.16214194133333,0.126769532646911,0.0616915599290369,0.0643225714720697,0.0788334803133299,0.0401274935367975
"440-Prok_bin48-ATP-synthase",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.4683,0.5113,0.650890231,1.8748,0.7901,0.923094213,0.9387,0.6979,0.910134077,0.7945,1.2372,0.910887957,1.2446,0.9665,1.630086422,1.1725,0.8876,1.197181702,"ATP-synthase","kegg:ATP_synthase_subunit_a_uniprot:K9VFN0_9CYAN_ATP_synthase_subunit_a_(TrEMBL)_pfam:ATP-synt_A","Prok_bin48_NODE_397_length_49723_cov_262.659_37","Prok_bin48",0.0221567348898288,0.186553605291685,0.0568805576832195,0.0995524530477128,0.0455305848998507,0.0529118532030938,0.0722990230474936,0.03142547279706,0.0475557010301793,0.114771300379635,0.0433691853626623,0.0383069297853585,0.0496010287490886,0.0334750372124134,0.0456088218766857,0.543496743666667,1.195998071,0.848911359,0.980862652333333,1.280395474,0.0885302992882444,0.0659982970502191,0.0504267322915777,0.065482471842552,0.0428949626127293
"659-Prok_bin54-ATP-synthase",0.316699563,0.016611094,0.557052986,0.025320076,0.928900186,0.815757219,0.98622751,1.099720052,0.170427644,0.449772309,1.269228482,0.377319486,0.32702182,0.750584323,0.102807427,1.3089,2.8257,1.368028402,0.9803,1.2083,1.274224639,0.7555,0.4721,0.744466424,1.9518,0.7004,0.601070404,1.399,0.5996,0.709087849,1.0729,0.5357,1.174052358,"ATP-synthase","kegg:atpD_F0F1_ATP_synthase_subunit_beta_uniprot:A0A0F3ITA7_9PROT_ATP_synthase_subunit_beta_(TrEMBL)_pfam:AAA_19","Prok_bin54_NODE_315_length_129220_cov_4.250858_63","Prok_bin54",41.3293907828979,1701.09205329884,24.5583173662406,387.163134897383,13.0078561530184,15.6201454222129,7.66050421773369,4.29291071979108,43.6822575567612,43.3952904824116,5.51831297463745,15.9300122655208,42.7800199998887,7.98844289211194,68.9724341608121,1.83420946733333,1.15427487966667,0.657355474666667,1.084423468,0.902562616333333,588.993253815992,138.597045490872,18.545224164762,21.61453857419,39.9136323509376
